id,wbId,name,original_en_word_count,improved_en_word_count,improvement_pct,status,error_reason
155937,WB224860,Glen Garioch 11 Years Old 2011 Best Dram,45,121,168.9,success,
155939,WB179150,Allt-a-Bhainne 20 Years Old 2000 Cask Strength Collection Signatory Vintage 11,45,117,160.0,success,
155940,WB132206,Lagavulin 10 Years Old Travel Excklusive,58,110,89.7,success,
155941,WB68610,Aberlour A'bunadh Batch 51,88,132,50.0,success,
155942,WB3622,Glenfarclas 29 Years Old 1970 Cask Nr.2018,106,107,0.9,success,
155945,WB117029,Glenfarclas 1993 Cask Nr.1598,93,127,36.6,success,
155946,WB185644,Royal Brackla 21 Years Old,53,103,94.3,success,
155947,WB11146,Glengoyne 1968 Vintage Reserve 25 Years Old,103,128,24.3,success,
155948,WB20315,High West Rendezvous Rye,41,105,156.1,success,
155952,WB75752,Glenfarclas 1979 Cask Nr.11018,101,111,9.9,success,
155954,WB137826,Arran 2008 Private Cask Nr.2008/011,95,109,14.7,success,
155956,WB225286,Highland Park Dragon Legend,97,123,26.8,success,
155957,WB106036,Glenfarclas 1988 Cask Nr.6986,99,115,16.2,success,
155961,WB96176,Glenfarclas 2000 Cask Nr.396,105,111,5.7,success,
155962,WB127341,Glenfarclas 1994 Cask Nr.1581,97,110,13.4,success,
155963,WB163888,Arran 23 Years Old 1996 Limited Edition Cask Nr.436,106,108,1.9,success,
155965,WB70131,Bunnahabhain 23 Years Old 1991 Wilson & Morgan,94,110,17.0,success,
155966,WB191927,Glenfarclas 2005 Cask Nr.2461,109,116,6.4,success,
155967,WB117037,Glenfarclas 2002 Cask Nr.3769,123,116,-5.7,success,
155980,WB192972,Balvenie 17 Years Old The Week Of Peat,102,112,9.8,success,
155981,WB93774,Kavalan Solist Sherry Cask Nr.S081229006,109,110,0.9,success,
155984,WB1654,Glenfarclas 12 Years Old 1994 Cask Nr.2935,89,124,39.3,success,
155986,WB106033,Glenfarclas 1991 Cask Nr.209,90,119,32.2,success,
155991,WB41530,Kavalan Solist Sherry Cask Nr.S060710004,101,117,15.8,success,
156004,WB229226,Hibiki Blossom Harmony 2023,84,117,39.3,success,
156005,WB44578,Glenfiddich 25 Years Old 1987 Rare Collection - Anniversary Vintage Cask Nr.19996,94,126,34.0,success,
156006,WB81401,Aberlour A'bunadh Batch 55,96,105,9.4,success,
156008,WB89032,Highland Park 13 Years Old 2003 Single Cask Series Nr.1933,110,113,2.7,success,
156009,WB127939,Glenfarclas 2008 Cask Nr.614,106,117,10.4,success,
156010,WB75098,Deanston 20 Years Old Un-Chill Filtered,116,116,0.0,success,
156014,WB59417,Lagavulin 1998 The Distillers Edition Cask Nr.lgv.4/503,117,109,-6.8,success,
156016,WB95824,Deanston 15 Years Old Organic,89,114,28.1,success,
